Executing...
RNN_5
/usr/local/lib64/python3.6/site-packages/pandas/core/indexing.py:671: SettingWithCopyWarning: 
A value is trying to be set on a copy of a slice from a DataFrame

See the caveats in the documentation: https://pandas.pydata.org/pandas-docs/stable/user_guide/indexing.html#returning-a-view-versus-a-copy
  self._setitem_with_indexer(indexer, value)
Initializing preprocessing...
Making vocab...
Vocab made!
Preprocessing texts...
Done preprocessing texts!
Preprocessing texts...
Done preprocessing texts!
Preprocessing texts...
Done preprocessing texts!
Preprocessing completed!
Initialising NN...
[1,    11] Training loss: 0.739 | Validation loss: 0.677 | Validation accuracy: 56.8
[1,    21] Training loss: 0.649 | Validation loss: 0.685 | Validation accuracy: 57.1
[1,    31] Training loss: 0.650 | Validation loss: 0.676 | Validation accuracy: 57.6
[1,    41] Training loss: 0.672 | Validation loss: 0.669 | Validation accuracy: 62.1
[1,    51] Training loss: 0.613 | Validation loss: 0.667 | Validation accuracy: 61.3
[1,    61] Training loss: 0.631 | Validation loss: 0.650 | Validation accuracy: 63.8
[1,    71] Training loss: 0.621 | Validation loss: 0.643 | Validation accuracy: 65.2
[1,    81] Training loss: 0.614 | Validation loss: 0.642 | Validation accuracy: 65.8
[1,    91] Training loss: 0.620 | Validation loss: 0.664 | Validation accuracy: 60.1
[1,   101] Training loss: 0.600 | Validation loss: 0.652 | Validation accuracy: 63.6
[1,   111] Training loss: 0.605 | Validation loss: 0.631 | Validation accuracy: 65.0
[1,   121] Training loss: 0.605 | Validation loss: 0.622 | Validation accuracy: 66.1
[1,   131] Training loss: 0.594 | Validation loss: 0.626 | Validation accuracy: 67.2
[1,   141] Training loss: 0.585 | Validation loss: 0.642 | Validation accuracy: 63.4
[1,   151] Training loss: 0.597 | Validation loss: 0.618 | Validation accuracy: 68.1
[1,   161] Training loss: 0.598 | Validation loss: 0.599 | Validation accuracy: 70.4
[1,   171] Training loss: 0.602 | Validation loss: 0.588 | Validation accuracy: 71.4
[1,   181] Training loss: 0.594 | Validation loss: 0.599 | Validation accuracy: 67.9
[1,   191] Training loss: 0.584 | Validation loss: 0.610 | Validation accuracy: 68.1
[1,   201] Training loss: 0.601 | Validation loss: 0.645 | Validation accuracy: 62.6
[1,   211] Training loss: 0.624 | Validation loss: 0.588 | Validation accuracy: 69.6
[1,   221] Training loss: 0.627 | Validation loss: 0.585 | Validation accuracy: 69.9
[1,   231] Training loss: 0.591 | Validation loss: 0.581 | Validation accuracy: 71.3
[1,   241] Training loss: 0.590 | Validation loss: 0.584 | Validation accuracy: 71.5
[1,   251] Training loss: 0.559 | Validation loss: 0.579 | Validation accuracy: 71.5
[1,   261] Training loss: 0.565 | Validation loss: 0.602 | Validation accuracy: 69.5
[1,   271] Training loss: 0.564 | Validation loss: 0.628 | Validation accuracy: 67.6
[1,   281] Training loss: 0.561 | Validation loss: 0.614 | Validation accuracy: 69.1
[1,   291] Training loss: 0.572 | Validation loss: 0.580 | Validation accuracy: 70.9
[1,   301] Training loss: 0.601 | Validation loss: 0.573 | Validation accuracy: 72.0
[1,   311] Training loss: 0.575 | Validation loss: 0.578 | Validation accuracy: 71.6
