Executing...
RNN_6
/usr/local/lib64/python3.6/site-packages/pandas/core/indexing.py:671: SettingWithCopyWarning: 
A value is trying to be set on a copy of a slice from a DataFrame

See the caveats in the documentation: https://pandas.pydata.org/pandas-docs/stable/user_guide/indexing.html#returning-a-view-versus-a-copy
  self._setitem_with_indexer(indexer, value)
Initializing preprocessing...
Making vocab...
Vocab made!
Preprocessing texts...
Done preprocessing texts!
Preprocessing texts...
Done preprocessing texts!
Preprocessing texts...
Done preprocessing texts!
Preprocessing completed!
Initialising NN...
[1,    11] Training loss: 0.730 | Validation loss: 0.670 | Validation accuracy: 57.3
[1,    21] Training loss: 0.643 | Validation loss: 0.677 | Validation accuracy: 57.8
[1,    31] Training loss: 0.648 | Validation loss: 0.669 | Validation accuracy: 58.8
[1,    41] Training loss: 0.664 | Validation loss: 0.667 | Validation accuracy: 61.9
[1,    51] Training loss: 0.604 | Validation loss: 0.658 | Validation accuracy: 63.1
[1,    61] Training loss: 0.629 | Validation loss: 0.642 | Validation accuracy: 65.2
[1,    71] Training loss: 0.616 | Validation loss: 0.633 | Validation accuracy: 67.3
[1,    81] Training loss: 0.604 | Validation loss: 0.631 | Validation accuracy: 66.8
[1,    91] Training loss: 0.612 | Validation loss: 0.648 | Validation accuracy: 62.6
[1,   101] Training loss: 0.591 | Validation loss: 0.632 | Validation accuracy: 66.4
[1,   111] Training loss: 0.590 | Validation loss: 0.622 | Validation accuracy: 67.6
[1,   121] Training loss: 0.597 | Validation loss: 0.616 | Validation accuracy: 68.9
[1,   131] Training loss: 0.587 | Validation loss: 0.611 | Validation accuracy: 69.6
[1,   141] Training loss: 0.574 | Validation loss: 0.621 | Validation accuracy: 67.3
[1,   151] Training loss: 0.597 | Validation loss: 0.610 | Validation accuracy: 69.3
[1,   161] Training loss: 0.594 | Validation loss: 0.592 | Validation accuracy: 71.3
[1,   171] Training loss: 0.605 | Validation loss: 0.578 | Validation accuracy: 72.6
[1,   181] Training loss: 0.591 | Validation loss: 0.588 | Validation accuracy: 69.8
